latitude,longitude,prr_percent,dli_avg,drr_percent
40.53,-73.94,14.30512783923267,24.999999750000068,99.99999900000027
40.61,-77.86,12.803781609092868,24.999999750000235,99.99999900000094
40.61,-79.58,13.549803008168427,24.999999750000065,99.99999900000026
40.53,-75.86,14.996257077602436,24.999999749999947,99.99999899999979
40.69,-72.14,16.082978332800682,24.99999974999999,99.99999899999996
40.77,-72.5,15.030053422115614,24.99999975000029,99.99999900000115
40.65,-72.3,16.358606810301062,24.99999975000068,99.99999900000272
40.61,-77.86,12.803781609092868,24.999999750000235,99.99999900000094
40.81,-79.7,12.968953587878937,24.999999750000235,99.99999900000094
40.77,-78.74,12.446823520904173,24.999999750000285,99.99999900000114
40.65,-76.82,13.254157911890854,24.99999975000027,99.99999900000108
40.85,-77.58,13.169122613998935,24.999999750000093,99.99999900000037
40.53,-79.14,12.214562733165911,24.99999975000011,99.99999900000044
40.57,-72.86,16.30307662448885,24.99999975000007,99.99999900000029
40.69,-74.06,14.951656839448654,24.999999750000132,99.99999900000053
40.81,-79.78,12.712013274998599,24.99999975000012,99.99999900000049
40.57,-79.14,13.084113527663197,24.99999975000017,99.99999900000068
40.65,-76.02,14.394616179548697,24.999999750000292,99.99999900000117
40.49,-77.14,13.750560817136256,24.999999749999976,99.9999989999999
40.53,-75.3,15.212340701343768,24.99999975000001,99.99999900000005
40.77,-71.94,16.709924896947417,24.99999975000031,99.99999900000124
40.81,-78.22,11.69701139038378,24.999999750000004,99.99999900000002
40.81,-74.86,14.818397911230052,24.999999750000196,99.99999900000078
40.49,-74.02,14.765251930851742,24.999999750000118,99.99999900000047
40.81,-74.58,14.580964075975356,24.99999975000122,99.99999900000488
40.81,-73.5,17.007369265407384,24.999999750000452,99.99999900000181
40.81,-73.22,16.39058696455776,24.99999975000016,99.99999900000064
40.81,-71.86,15.978637533662843,24.999999750000608,99.99999900000243
40.81,-79.66,12.942363110544772,24.999999750000097,99.99999900000039
40.81,-77.46,13.492545794400653,24.999999750000026,99.9999990000001
40.73,-77.66,13.583268392564529,24.999999750000306,99.99999900000122
40.81,-76.5,13.566183875157797,24.999999750000022,99.99999900000009
40.73,-76.3,13.727688192339777,24.999999750000153,99.99999900000061
40.69,-75.86,14.07895583449984,24.999999750000683,99.99999900000273
40.85,-77.1,14.204057975093606,24.99999975000023,99.99999900000093
40.77,-75.06,15.2873519413027,24.999999750000022,99.99999900000009
40.49,-76.66,13.162788701413024,24.99999975000002,99.99999900000007
40.57,-75.7,14.885568711470064,24.99999975000011,99.99999900000044
40.69,-74.58,15.420562710041624,24.999999750000057,99.99999900000023
40.77,-71.94,16.709924896947417,24.99999975000031,99.99999900000124
40.65,-76.94,13.66560640515482,24.999999750000093,99.99999900000037
40.49,-78.5,12.412233721322059,24.999999750000153,99.99999900000061
40.53,-73.3,16.21191510060023,24.999999750000068,99.99999900000027
40.65,-78.38,12.295757236274419,24.999999750000022,99.99999900000009
40.49,-75.06,14.322061517467061,24.9999997500001,99.9999990000004
